;;;;;;;;;;x
PROV1;Sitka;x
PROV2;Yakutat;x
PROV3;Kenai;x
PROV4;Dutch Harbor;x
PROV5;Bethel;x
PROV6;Whitehorse;x
PROV7;Dawson;x
PROV8;Ross River;x
PROV9;Fort Simpson;x
PROV10;Inuvik;x
PROV11;Echo Bay;x
PROV12;Reliance;x
PROV13;Vancouver;x
PROV14;Vancouver Island;x
PROV15;Prince Rupert;x
PROV16;Glenora;x
PROV17;Atlin;x
PROV18;Fort Saint John;x
PROV19;Prince George;x
PROV20;Kelowna;x
PROV21;Vernon;x
PROV22;Edmonton;x
PROV23;Athabaska Landing;x
PROV24;Jasper;x
PROV25;Banff;x
PROV26;Calgary;x
PROV27;Denwood;x
PROV28;Fort MacLeod;x
PROV29;Medicine Hat;x
PROV30;Regina;x
PROV31;Stanley;x
PROV32;Prince Albert;x
PROV33;Asquith;x
PROV34;Saskatoon;x
PROV35;Maple Creek;x
PROV36;Winnipeg;x
PROV37;Churchill;x
PROV38;Indian Lakes;x
PROV39;Norway House;x
PROV40;Dauphin;x
PROV41;Brandon;x
PROV42;Pembina;x
PROV43;Arviat;x
PROV44;Coral Harbour;x
PROV45;Baffin Island;x
PROV46;Toronto;x
PROV47;Fort Severn;x
PROV48;Fort Albany;x
PROV49;Dryden;x
PROV50;Thunder Bay;x
PROV51;Sault Ste Marie;x
PROV52;Sudbury;x
PROV53;Barrie;x
PROV54;Windsor;x
PROV55;Hamilton;x
PROV56;Kingston;x
PROV57;Ottawa;x
PROV58;Montreal;x
PROV59;Nitchequon;x
PROV60;Fort Rupert;x
PROV61;Chicoutimi;x
PROV62;Sept-Iles;x
PROV63;Temiscaming;x
PROV64;Trois-Rivieres;x
PROV65;Quebec City;x
PROV66;Sherbrooke;x
PROV67;Rimouski;x
PROV68;Fredericton;x
PROV69;Bathurst;x
PROV70;Prince Edward Island;x
PROV71;Halifax;x
PROV72;Truro;x
PROV73;Cape Breton Island;x
PROV74;Saint Johns;x
PROV75;Millertown;x
PROV76;Hopedale;x
PROV77;St Pierre & Miquelon;x
PROV78;Seattle;x
PROV79;Spokane;x
PROV80;Walla Walla;x
PROV81;Portland;x
PROV82;Baker City;x
PROV83;Klamath Falls;x
PROV84;San Francisco;x
PROV85;Eureka;x
PROV86;Sacramento;x
PROV87;Monterey;x
PROV88;Mariposa;x
PROV89;Los Angeles;x
PROV90;San Diego;x
PROV91;Boise;x
PROV92;Coeur D'Alene;x
PROV93;Pocatello;x
PROV94;Carson City;x
PROV95;Elko;x
PROV96;Las Vegas;x
PROV97;Salt Lake City;x
PROV98;Loa;x
PROV99;Moab;x
PROV100;Phoenix;x
PROV101;Flagstaff;x
PROV102;Tucson;x
PROV103;Santa Fe;x
PROV104;Albuquerque;x
PROV105;Las Cruces;x
PROV106;Denver;x
PROV107;Grand Junction;x
PROV108;Alamosa;x
PROV109;Pueblo;x
PROV110;Cheyenne;x
PROV111;Cody;x
PROV112;Casper;x
PROV113;Bozeman;x
PROV114;Missoula;x
PROV115;Great Falls;x
PROV116;Billings;x
PROV117;Bismarck;x
PROV118;Minot;x
PROV119;Dickinson;x
PROV120;Sioux Falls;x
PROV121;Dupree;x
PROV122;Rapid City;x
PROV123;Omaha;x
PROV124;Alliance;x
PROV125;North Platte;x
PROV126;Topeka;x
PROV127;Goodland;x
PROV128;Wichita;x
PROV129;Oklahoma City;x
PROV130;Tahlequah;x
PROV131;Okmulgee;x
PROV132;Houston;x
PROV133;Austin;x
PROV134;Dallas;x
PROV135;Lubbock;x
PROV136;El Paso;x
PROV137;San Antonio;x
PROV138;Laredo;x
PROV139;New Orleans;x
PROV140;Baton Rouge;x
PROV141;Lake Charles;x
PROV142;Shreveport;x
PROV143;Little Rock;x
PROV144;Hot Springs;x
PROV145;Fayetteville;x
PROV146;St Louis;x
PROV147;Joplin;x
PROV148;Malden;x
PROV149;Jefferson City;x
PROV150;Kansas City;x
PROV151;Des Moines;x
PROV152;Oskaloosa;x
PROV153;Cedar Rapids;x
PROV154;Sioux City;x
PROV155;Minneapolis;x
PROV156;Granite Falls;x
PROV157;Moorhead;x
PROV158;Duluth;x
PROV159;Milwaukee;x
PROV160;Eau Claire;x
PROV161;Green Bay;x
PROV162;Madison;x
PROV163;Chicago;x
PROV164;Rockford;x
PROV165;Champaign;x
PROV166;Peoria;x
PROV167;Springfield;x
PROV168;Carbondale;x
PROV169;Indianapolis;x
PROV170;Evansville;x
PROV171;South Bend;x
PROV172;Fort Wayne;x
PROV173;Detroit;x
PROV174;Grand Rapids;x
PROV175;Saginaw;x
PROV176;Traverse City;x
PROV177;Marquette;x
PROV178;Cleveland;x
PROV179;Columbus;x
PROV180;Sandusky;x
PROV181;Dayton;x
PROV182;Cincinnati;x
PROV183;Marietta;x
PROV184;Louisville;x
PROV185;Lexington;x
PROV186;Bowling Green;x
PROV187;Paducah;x
PROV188;Nashville;x
PROV189;Memphis;x
PROV190;Knoxville;x
PROV191;Chattanooga;x
PROV192;Jackson;x
PROV193;Vicksburg;x
PROV194;Biloxi;x
PROV195;Montgomery;x
PROV196;Tuscaloosa;x
PROV197;Mobile;x
PROV198;Tallahassee;x
PROV199;St Augustine;x
PROV200;Tampa;x
PROV201;Atlanta;x
PROV202;Valdosta;x
PROV203;Bermuda;x
PROV204;Savannah;x
PROV205;Charleston;x
PROV206;Columbia;x
PROV207;Greenville;x
PROV208;Raleigh;x
PROV209;Charlotte;x
PROV210;Wilmington;x
PROV211;Richmond;x
PROV212;Manassas;x
PROV213;Fredericksburg;x
PROV214;Norfolk;x
PROV215;Staunton;x
PROV216;Roanoke;x
PROV217;Wheeling;x
PROV218;Huntington;x
PROV219;Baltimore;x
PROV220;Washington;x
PROV221;Hagerstown;x
PROV222;Dover;x
PROV223;Philadelphia;x
PROV224;Scranton;x
PROV225;Williamsport;x
PROV226;Harrisburg;x
PROV227;Pittsburgh;x
PROV228;Erie;x
PROV229;Newark;x
PROV230;Trenton;x
PROV231;Atlantic City;x
PROV232;New York;x
PROV233;Long Island;x
PROV234;Albany;x
PROV235;Binghamton;x
PROV236;Buffalo;x
PROV237;Rochester;x
PROV238;Syracuse;x
PROV239;Watertown;x
PROV240;Plattsburgh;x
PROV241;Hartford;x
PROV242;Providence;x
PROV243;Boston;x
PROV244;New Bedford;x
PROV245;Pittsfield;x
PROV246;Burlington;x
PROV247;Concord;x
PROV248;Lewiston;x
PROV249;Bangor;x
